"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
bloodinitiatedtime,ctr_page_3,,text,"Blood transfusion initiated time:

Heure Transfusion sanguine :",,"Time should be in 24H format; i.e. 1pm to 11.59pm should be written as 13:00 to 23:59.",time,00:00,23:59,,"[access(4)] = '1'",,,,,,
tourniquetplacedtime,ctr_page_3,,text,"Tourniquet Placement Time :

Garrot mis en place, heure placé:  

",,"Time should be in 24H format; i.e. 1pm to 11.59pm should be written as 13:00 to 23:59.",time,00:00,23:59,,"[access(5)] = '1'",,,,,,
tourniquetremovaltime,ctr_page_3,,text,"Tourniquet Removal Time (24hr):

Garrot mis en place, heure retiré:   

",,"Time should be in 24H format; i.e. 1pm to 11.59pm should be written as 13:00 to 23:59.",time,00:00,23:59,,"[access(6)] = '1'",,,,,,
inj_bruiseabrasion,ctr_page_3,"SECONDARY SURVEY

INJURY MATRIX",checkbox,"Bruise/Abrasion / Bleu/abrasion","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_sprainstrain,ctr_page_3,,checkbox,"Sprain/Strain / Entorse/foulure","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_bullet,ctr_page_3,,checkbox,"Bullet Entry/Exit / Entrée/sortie de balle","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_lacsuper,ctr_page_3,,checkbox,"Superficial laceration / lacérations superficielles","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_lacdeep,ctr_page_3,,checkbox,"Deep Laceration/ lacérations profondes","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_avulsion,ctr_page_3,,checkbox,"Avulsion/Degloving / Avulsion/ Dégantage","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_amputation,ctr_page_3,,checkbox,Amputation,"1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_fractureclosed,ctr_page_3,,checkbox,"Closed Fracture/ Fracture fermée","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_fractureopen,ctr_page_3,,checkbox,"Open Fracture/Fracture ouverte","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_dislocation,ctr_page_3,,checkbox,"Dislocation/ Déboitement","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_burn,ctr_page_3,,checkbox,Burn/Brûlure,"1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_visceraexpose,ctr_page_3,,checkbox,"Viscera Exposed/Viscères exposés","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_hematoma,ctr_page_3,,checkbox,"Hematoma/ Internal bleeding/ Hémorragie interne/hématome","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_neurodef,ctr_page_3,,checkbox,"Neurologic Deficit /Déficit neurologique","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_diminishpulse,ctr_page_3,,checkbox,"Diminished Pulse/Pouls réduit","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_other,ctr_page_3,,checkbox,"Other/ Autre","1, Head   Tête | 2, Neck   Cou | 3, Face | 4, Chest Poitrin | 5, Abd | 6, UroG | 7, Pelvis Bassin | 8, C_Sp   ColV-C | 9, T_Sp  ColV-T | 10, L_Sp  ColV-L | 11, LUE  MSG | 12, RUE  MSD | 13, LLE  MIG | 14, RLE  MID",,,,,,,,,,injury,,
inj_bruise_head,ctr_page_3,,radio,"Code AIS - Bruise/Abrasion Head

Tête Bleu/abrasion
  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(1)] = '1'",,,,,,
inj_bruise_neck,ctr_page_3,,radio,"Code AIS - Bruise/Abrasion Neck

Cou Bleu/abrasion
  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(2)] = '1'",,,,,,
inj_bruise_face,ctr_page_3,,radio,"Code AIS - Bruise/Abrasion Face

Face Bleu/abrasion","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(3)] = '1'",,,,,,
inj_bruise_chest,ctr_page_3,,radio,"Code AIS - Code AIS - Bruise/Abrasion Chest

Poitrine Bleu/abrasion  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(4)] = '1'",,,,,,
inj_bruise_abd,ctr_page_3,,radio,"Code AIS - Bruise/Abrasion Abd

Abd Bleu/abrasion  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(5)] = '1'",,,,,,
inj_bruise_urog,ctr_page_3,,radio,"Code AIS - Bruise/Abrasion Urogenital

Urogenital Bleu/abrasion  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(6)] = '1'",,,,,,
inj_bruise_pelvis,ctr_page_3,,radio,"Code AIS - Bruise/abrasion Pelvis 

Bassin Bleu/abrasion    ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(7)] = '1'",,,,,,
inj_bruise_sc,ctr_page_3,,radio,"Code AIS - Bruise/abrasion Spine-C

Col.Vert-C Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(8)] = '1'",,,,,,
inj_bruise_st,ctr_page_3,,radio," Code AIS - Bruise/abrasion Spine-T

Col.Vert-T Bleu/abrasion  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(9)] = '1'",,,,,,
inj_bruise_sl,ctr_page_3,,radio," Code AIS - Bruise/abrasion Spine-L

Col.Vert-L Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(10)] = '1'",,,,,,
inj_bruise_lue,ctr_page_3,,radio,"Code AIS - Bruise/abrasion LUE

MSG Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(11)] = '1'",,,,,,
inj_bruise_rue,ctr_page_3,,radio,"Code AIS - Bruise/abrasion RUE

MSD Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(12)] = '1'",,,,,,
inj_bruise_lle,ctr_page_3,,radio,"Code AIS - Bruise/abrasion LLE

MIG Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(13)] = '1'",,,,,,
inj_bruise_rle,ctr_page_3,,radio,"Code AIS - Bruise/abrasion RLE

MID Bleu/abrasion ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bruiseabrasion(14)] = '1'",,,,,,
inj_sprain_head,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Head

Tête Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(1)] = '1'",,,,,,
inj_sprain_neck,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Neck

Cou Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(2)] = '1'",,,,,,
inj_sprain_face,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Face

Face Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(3)] = '1'",,,,,,
inj_sprain_chest,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Chest

Poitrine Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(4)] = '1'",,,,,,
inj_sprain_abd,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Abd.

Abd. Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(5)] = '1'",,,,,,
inj_sprain_urog,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Urogenital

Urogenital Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(6)] = '1'",,,,,,
inj_sprain_pelvis,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Pelvis

Bassin Entorse/foulure  ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(7)] = '1'",,,,,,
inj_sprain_sc,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Spine C

ColV-C Entorse/foulure   ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(8)] = '1'",,,,,,
inj_sprain_st,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Spine T

ColV-T Entorse/foulure   ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(9)] = '1'",,,,,,
inj_sprain_sl,ctr_page_3,,radio,"Code AIS- Sprain/ Strain Spine L

ColV-L Entorse/foulure      ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(10)] = '1'",,,,,,
inj_sprain_lue,ctr_page_3,,radio,"Code AIS- Sprain/ Strain LUE

MSG Entorse/foulure   ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(11)] = '1'",,,,,,
inj_sprain_rue,ctr_page_3,,radio,"Code AIS- Sprain/ Strain RUE

MSD Entorse/foulure    ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(12)] = '1'",,,,,,
inj_sprain_lle,ctr_page_3,,radio,"Code AIS- Sprain/ Strain LLE

MIG Entorse/foulure   ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(13)] = '1'",,,,,,
inj_sprain_rle,ctr_page_3,,radio,"Code AIS- Sprain/ Strain RLE

MID Entorse/foulure   ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_sprainstrain(14)] = '1'",,,,,,
inj_bullet_head,ctr_page_3,,radio,"Code AIS- Head Bullet Entry/Exit Severity    

Entrée/sortie de balle Tête","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(1)] = '1'",,,,,,
inj_bullet_neck,ctr_page_3,,radio,"Code AIS- Neck Bullet Entry/Exit Severity    

Entrée/sortie de balle Cou","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(2)] = '1'",,,,,,
inj_bullet_face,ctr_page_3,,radio,"Code AIS- Face Bullet Entry/Exit Severity    

Entrée/sortie de balle Face ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(3)] = '1'",,,,,,
inj_bullet_chest,ctr_page_3,,radio,"Code AIS- Chest Bullet Entry/Exit Severity    

Entrée/sortie de balle Poitrine","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(4)] = '1'",,,,,,
inj_bullet_abd,ctr_page_3,,radio,"Code AIS- Abd. Bullet Entry/Exit Severity    

Entrée/sortie de balle Abd.","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(5)] = '1'",,,,,,
inj_bullet_urog,ctr_page_3,,radio,"Code AIS- Urogenital Bullet Entry/Exit Severity    

Entrée/sortie de balle Urogenital","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(6)] = '1'",,,,,,
inj_bullet_pelvis,ctr_page_3,,radio,"Code AIS- Pelvis Bullet Entry/Exit Severity    

Entrée/sortie de balle Bassin","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(7)] = '1'",,,,,,
inj_bullet_sc,ctr_page_3,,radio,"Code AIS- Spine-C Bullet Entry/Exit Severity    

Entrée/sortie de balle Col. Vert-C","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(8)] = '1'",,,,,,
inj_bullet_st,ctr_page_3,,radio,"Code AIS- Spine-T Bullet Entry/Exit Severity    

Entrée/sortie de balle Col. Vert-T","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(9)] = '1'",,,,,,
inj_bullet_sl,ctr_page_3,,radio,"Code AIS- Spine-L Bullet Entry/Exit Severity    

Entrée/sortie de balle Col. Vert-L","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(10)] = '1'",,,,,,
inj_bullet_lue,ctr_page_3,,radio,"Code AIS- LUE Bullet Entry/Exit Severity    

Entrée/sortie de balle MSG","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(11)] = '1'",,,,,,
inj_bullet_rue,ctr_page_3,,radio,"Code AIS- RUE Bullet Entry/Exit Severity    

Entrée/sortie de balle MSD","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(12)] = '1'",,,,,,
inj_bullet_lle,ctr_page_3,,radio,"Code AIS- LLE Bullet Entry/Exit Severity    

Entrée/sortie de balle MIG","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(13)] = '1'",,,,,,
inj_bullet_rle,ctr_page_3,,radio,"Code AIS- RLE Bullet Entry/Exit Severity    

Entrée/sortie de balle MID","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_bullet(14)] = '1'",,,,,,
inj_lacsuper_head,ctr_page_3,,radio,"Code AIS - Head Superficial Laceration Severity

Lacérations superficielle Tête

    ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(1)] = '1'",,,,,,
inj_lacsuper_neck,ctr_page_3,,radio,"Code AIS - Neck Superficial Laceration Severity

Lacérations superficielle Cou

    ","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(2)] = '1'",,,,,,
inj_lacsuper_face,ctr_page_3,,radio,"Code AIS - Face Superficial Laceration Severity

Lacérations superficielle Face
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(3)] = '1'",,,,,,
inj_lacsuper_chest,ctr_page_3,,radio,"Code AIS - Chest Superficial Laceration Severity

Lacérations superficielle Poitrine
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(4)] = '1'",,,,,,
inj_lacsuper_abd,ctr_page_3,,radio,"Code AIS - Abd. Superficial Laceration Severity

Lacérations superficielle Abd.
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(5)] = '1'",,,,,,
inj_lacsuper_urog,ctr_page_3,,radio,"Code AIS - Urogenital Superficial Laceration Severity

Lacérations superficielle Urogenital
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(6)] = '1'",,,,,,
inj_lacsuper_pelvis,ctr_page_3,,radio,"Code AIS - Pelvis Superficial Laceration Severity

Lacérations superficielle Bassin
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(7)] = '1'",,,,,,
inj_lacsuper_sc,ctr_page_3,,radio,"Code AIS - Spine-C Superficial Laceration Severity

Lacérations superficielle Col. Vert-C
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(8)] = '1'",,,,,,
inj_lacsuper_st,ctr_page_3,,radio,"Code AIS - Spine-T Superficial Laceration Severity

Lacérations superficielle Col. Vert-T
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(9)] = '1'",,,,,,
inj_lacsuper_sl,ctr_page_3,,radio,"Code AIS - Spine-L Superficial Laceration Severity

Lacérations superficielle Col. Vert-L
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(10)] = '1'",,,,,,
inj_lacsuper_lue,ctr_page_3,,radio,"Code AIS - LUE Superficial Laceration Severity

Lacérations superficielle MSG
","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6","Pour chaque région, donner l'AIS du traumatisme le plus sévère  / If more than 1 injury of this type in this region list the severity of the MOST severe injury ",,,,,"[inj_lacsuper(11)] = '1'",,,,,,
